name;title;category;tag;hp;attackdamage;attackdamageperlevel
Rammus;a páncélos;Tank;Tank,Fighter;564,48;55,88;3,5
Rek'Sai;a sivatagi Ürességrém;Fighter;Fighter;570;55,628;3,35
Renekton;a sivatag mészárosa;Fighter;Fighter,Tank;572,16;58,328;3,1
Rengar;a büszke ragadozó;Assassin;Assassin,Fighter;586,2;60;1,5
Riven;a száműzött;Fighter;Fighter,Assassin;558,48;56,04;3
Rumble;a gépesített fenyegetés;Fighter;Fighter,Mage;584,4;61,036;3,2
Ryze;a rúnamágus;Mage;Mage,Fighter;558,48;55,04;3
Sejuani;a tél haragja;Tank;Tank,Fighter;600;57,544;3,3
Shaco;a démoni bohóc;Assassin;Assassin;582,12;57,58;3,5
Shen;az alkony szeme;Tank;Tank,Melee;540;60;3
Shyvana;a félvér sárkány;Fighter;Fighter,Tank;595;60,712;3,4
Singed;az őrült vegyész;Tank;Tank,Fighter;542,76;62,32;3,375
Sion;az élőholt gyilkológép;Tank;Tank,Fighter;542,64;59,72;4
Sivir;a viadal úrnője;Marksman;Marksman;515,76;57,46;2,41
Skarner;a kristály élharcosa;Fighter;Fighter,Tank;601,28;57,156;4,5
Sona;a húrok virtuóza;Support;Support,Mage;482,36;50,04;3
Soraka;a csillaggyermek;Support;Support,Mage;529,04;50,04;3
Swain;a mesteri taktikus;Mage;Mage,Fighter;516,04;52,04;3
Syndra;a sötét fejedelem;Mage;Mage,Support;511,04;53,872;2,9
Tahm Kench;a folyó királya;Support;Support,Tank;610;56;3,2
Taliyah;a sziklaszövő;Mage;Mage,Support;520;56;3,3
Talon;a penge árnyéka;Assassin;Assassin,Fighter;583;60;3,1
Taric;Valoran pajzsa;Support;Support,Fighter;575;55;3,5
Teemo;a fürge felderítő;Marksman;Marksman,Assassin;515,76;49,54;3
Thresh;a láncok őre;Support;Support,Fighter;560,52;47,696;2,2
Tristana;a yordle tüzér;Marksman;Marksman,Assassin;542,76;56,96;2,41
Trundle;a Troll király;Fighter;Fighter,Tank;616,28;60,04;3
Tryndamere;a barbárvezér;Fighter;Fighter,Assassin;625,64;61,376;3,2
Twisted Fate;a hamiskártyás;Mage;Mage;521,76;49,954;3,3
Twitch;a pestispatkány;Marksman;Marksman,Assassin;525,08;55,46;2,41
Udyr;a lélekvándor;Fighter;Fighter,Tank;593,32;58,286;3,2
Urgot;a hóhér büszkesége;Marksman;Marksman,Fighter;586,52;54,05;3,6
Varus;a megtorlás nyila;Marksman;Marksman,Mage;537,76;54,66;2,41
Vayne;az éji vadász;Marksman;Marksman,Assassin;498,44;55,88;1,66
Veigar;a gonoszság apró mestere;Mage;Mage;492,76;50,71;2,625
Vel'Koz;az Üresség szeme;Mage;Mage;507,68;54,9379;3,14159
Vi;a piltoveri végrehajtó;Fighter;Fighter,Assassin;582,8;55,88;3,5
Viktor;a géphírnök;Mage;Mage;516,04;52,04;3
Vladimir;a karmazsin kaszás;Mage;Mage,Tank;525;52;3
Volibear;a mennydörgés hangja;Fighter;Fighter,Tank;584,48;59,544;3,3
Warwick;a vérvadász;Fighter;Fighter,Tank;592,64;62,43;3,375
Xerath;az emelkedett mágus;Mage;Mage,Assassin;514,4;54,7;3
Xin Zhao;Demacia udvarmestere;Fighter;Fighter,Assassin;600;57,544;3,3
Yasuo;a kitaszított;Fighter;Fighter,Assassin;517,76;55,376;3,2
Yorick;a lelkek pásztora;Fighter;Fighter,Tank;580;57;5
Zac;a titkos fegyver;Tank;Tank,Fighter;614,6;59,67;3,375
Zed;az árnyak nagyura;Assassin;Assassin,Fighter;579,4;54,712;3,4
Ziggs;a hextikus robbantó;Mage;Mage;524,4;54,208;3,1
Zilean;az idő őre;Support;Support,Mage;499,28;51,64;3
Zyra;a tövisek úrnője;Mage;Mage,Support;499,32;53,376;3,2
